variant_key,variant_label,model_dir,checkpoint,step,max_step,observed_max_step,epoch_progress,color,NDCG@10,HR@10,NDCG@50,HR@50,NDCG@5,HR@5
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#E69F00,0.0916,0.1166,0.1085,0.1944,0.086,0.0991
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#E69F00,0.0913,0.1169,0.1073,0.1909,0.0858,0.0996
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#E69F00,0.093,0.1182,0.1093,0.1935,0.0875,0.1011
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#E69F00,0.093,0.118,0.1096,0.1947,0.0876,0.1014
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#E69F00,0.0931,0.1189,0.1094,0.1941,0.0875,0.1014
fixed_taskfix,RL fixed taskfix,Instruments-grec-grpo-rule-only-fixedhint-taskfix-b16-sft495,checkpoint-3326,3326,3326,3326,2.0,#E69F00,0.0929,0.1186,0.1092,0.1938,0.0872,0.1009
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-333,333,3326,3326,0.20024052916416116,#7F3C8D,0.086,0.1103,0.1014,0.1817,0.0804,0.0928
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-666,666,3326,3326,0.4004810583283223,#7F3C8D,0.0902,0.1133,0.1063,0.1888,0.0848,0.0964
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-999,999,3326,3326,0.6007215874924835,#7F3C8D,0.0917,0.1148,0.1081,0.1912,0.0863,0.098
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1332,1332,3326,3326,0.8009621166566446,#7F3C8D,0.0939,0.1182,0.1095,0.1904,0.0877,0.0986
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1665,1665,3326,3326,1.0012026458208059,#7F3C8D,0.0943,0.1175,0.1108,0.1941,0.0887,0.1003
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-1998,1998,3326,3326,1.201443174984967,#7F3C8D,0.0947,0.1184,0.1111,0.1943,0.089,0.1007
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2331,2331,3326,3326,1.4016837041491281,#7F3C8D,0.0947,0.1197,0.1111,0.1957,0.0887,0.1011
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2664,2664,3326,3326,1.6019242333132893,#7F3C8D,0.0951,0.1196,0.1114,0.1952,0.0894,0.1019
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-2997,2997,3326,3326,1.8021647624774504,#7F3C8D,0.0952,0.1193,0.1117,0.1956,0.0897,0.1022
fixed_old,RL fixed old,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,checkpoint-3326,3326,3326,3326,2.0,#7F3C8D,0.0953,0.1193,0.1114,0.1938,0.0896,0.1019
