HR@1,HR@10,HR@20,HR@3,HR@5,HR@50,NDCG@1,NDCG@10,NDCG@20,NDCG@3,NDCG@5,NDCG@50,checkpoint,checkpoint_step,experiment,status
0.0746,0.1135,0.1366,0.0905,0.0982,0.1831,0.0746,0.0919,0.0977,0.0838,0.087,0.1069,checkpoint-1596,1596,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.074,0.1145,0.1367,0.0887,0.0975,0.1834,0.074,0.0916,0.0972,0.0825,0.0862,0.1064,checkpoint-1862,1862,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0743,0.1149,0.1349,0.0887,0.0979,0.1829,0.0743,0.092,0.097,0.0828,0.0865,0.1065,checkpoint-2128,2128,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0743,0.1155,0.1365,0.0884,0.0977,0.183,0.0743,0.0921,0.0973,0.0825,0.0863,0.1065,checkpoint-2394,2394,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0741,0.1149,0.1368,0.0884,0.0985,0.1832,0.0741,0.0919,0.0974,0.0825,0.0866,0.1065,checkpoint-2652,2652,Instruments-grec-grpo-rule-only-dynamic-hint-sid-only-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0664,0.1103,0.1344,0.0843,0.0928,0.1817,0.0664,0.086,0.0921,0.0769,0.0804,0.1014,checkpoint-333,333,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0728,0.1133,0.1367,0.0868,0.0964,0.1888,0.0728,0.0902,0.0961,0.0809,0.0848,0.1063,checkpoint-666,666,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0735,0.1148,0.1403,0.0891,0.098,0.1912,0.0735,0.0917,0.0981,0.0826,0.0863,0.1081,checkpoint-999,999,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0759,0.1182,0.1432,0.0903,0.0986,0.1904,0.0759,0.0939,0.1002,0.0843,0.0877,0.1095,checkpoint-1332,1332,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0764,0.1175,0.1444,0.091,0.1003,0.1941,0.0764,0.0943,0.101,0.0849,0.0887,0.1108,checkpoint-1665,1665,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0757,0.1184,0.1448,0.0923,0.1007,0.1943,0.0757,0.0947,0.1013,0.0855,0.089,0.1111,checkpoint-1998,1998,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.0746,0.1197,0.145,0.0924,0.1011,0.1957,0.0746,0.0947,0.1011,0.0851,0.0887,0.1111,checkpoint-2331,2331,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
0.076,0.1196,0.145,0.0924,0.1019,0.1952,0.076,0.0951,0.1015,0.0855,0.0894,0.1114,checkpoint-2664,2664,Instruments-grec-grpo-rule-only-fixed-hint-mixed-single-generate-qwen2.5-3b-qwen4B-4-256-from-sft495,
